,name,region,link,latitude,longitude
0,Audierne,BRETAGNE,"https://www.google.fr/maps/place/Baie+d'Audierne/@47.9166822,-4.614265,11z/data=!3m1!4b1!4m2!3m1!1s0x48172181cc104235:0xb43d0b40c0673fa2",47.9166822,-4.614265
1,Baie des Trépassés,BRETAGNE,"https://www.google.fr/maps/place/Baie+des+Trépassés,+29770/@48.0468951,-4.7243566,14z/data=!3m1!4b1!4m2!3m1!1s0x4816e346c515eeb9:0x626a56e3d1e674b",48.0468951,-4.7243566
2,Barre d'Etel,BRETAGNE,"https://www.google.fr/maps/place/Rivière+d'Étel/@47.6723456,-3.2209637,13z/data=!3m1!4b1!4m2!3m1!1s0x481068bf9791c4d9:0x6c2cee2cd5015ed",47.6723456,-3.2209637
3,Brest Blanc Sablons,BRETAGNE,"https://www.google.fr/maps/place/Plage+des+Blancs+Sablons/@48.3667871,-4.7948276,13z/data=!4m6!1m3!3m2!1s0x4816920fe28bac87:0x5f7ddd1d687b5072!2sCamping+Les+Blancs+Sablons!3m1!1s0x0000000000000000:0x4ba0ade1f91fcf91",48.3667871,-4.7948276
4,Crozon,BRETAGNE,"https://www.google.fr/maps/place/Crozon/@48.2393934,-4.6087984,11z/data=!4m2!3m1!1s0x4816c14092afab1b:0xc3b97fb2598d185c",48.2393934,-4.6087984
5,Dinard,BRETAGNE,"https://www.google.fr/maps/place/Dinard/@48.6234665,-2.0910223,13z/data=!3m1!4b1!4m5!1m2!9m1!1b1!3m1!1s0x480e80c04daa5a55:0xdf85efa31f6fc0e3",48.6234665,-2.0910223
6,Donnant,BRETAGNE,"https://www.google.fr/maps/place/Donnant,+56360+Bangor/@47.3202132,-3.2471706,14z/data=!3m1!4b1!4m2!3m1!1s0x481a8486ca5fd107:0x20e9a7941e5f0bc0",47.3202132,-3.2471706
7,Douarnenez,BRETAGNE,"https://www.google.fr/maps/place/Douarnenez/@48.0792782,-4.3594642,13z/data=!4m2!3m1!1s0x4816d0c48c51633f:0x3c221eec4e9cb07e",48.0792782,-4.3594642
8,Fort Bloqué,BRETAGNE,"https://www.google.fr/maps/place/Fort+Bloqué/@47.7332982,-3.5004188,17z/data=!3m1!4b1!4m2!3m1!1s0x4810f49ee78a13b3:0xf35777e3410cb9a3",47.7332982,-3.5004188
9,Guidel Plage de la falaise,BRETAGNE,"https://www.google.fr/maps/place/Plage+de+la+Falaise/@47.7624561,-3.5448406,14z/data=!3m1!4b1!4m2!3m1!1s0x4810f3963c7c55dd:0x98741ddd31ee9106",47.7624561,-3.5448406
10,L'ile aux Vaches,BRETAGNE,"https://www.google.fr/maps/place/Audierne/@48.0240842,-4.5801866,13z/data=!4m2!3m1!1s0x4816e07b064bc507:0x7ce50c227fd9baf1",48.0240842,-4.5801866
11,La Palue,BRETAGNE,"https://www.google.fr/maps/place/La+Palue,+29160+Crozon/@48.2051882,-4.8241795,10z/data=!4m2!3m1!1s0x4816c26a3012227f:0xef3db25ff73b39e",48.2051882,-4.8241795
12,La Torche,BRETAGNE,"https://www.google.fr/maps/place/Pointe+de+la+Torche,+29120+Plomeur/@47.8370662,-4.6334255,10z/data=!4m2!3m1!1s0x48173acc8773429b:0x64ed67bf332b3077",47.8370662,-4.6334255
13,Le Dossen,BRETAGNE,"https://www.google.fr/maps/place/Le+Dossen,+29250+Saint-Pol-de-Léon/@48.6520636,-4.2381196,10z/data=!4m2!3m1!1s0x4813e1df448fa877:0xb39ccd9bfaeae04",48.6520636,-4.2381196
14,Le Petit Minou,BRETAGNE,"https://www.google.fr/maps/place/Le+Phare+du+Petit+Minou/@48.3227252,-4.7051541,12z/data=!4m5!1m2!2m1!1splage+Le+Petit+Minou+bretagne!3m1!1s0x0000000000000000:0x6579f2c42e095734",48.3227252,-4.7051541
